Rk,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated
1,Manchester Utd,78,£ 3181538 (€ 3794190 $3866273),£ 165440000 (€ 197297905 $201046193),33%
2,Manchester City,71,£ 2865192 (€ 3416927 $3481842),£ 148990000 (€ 177680216 $181055805),31%
3,Chelsea,79,£ 2300962 (€ 2744046 $2796177),£ 119650000 (€ 142690368 $145401216),35%
4,Arsenal,78,£ 2279615 (€ 2718589 $2770237),£ 118540000 (€ 141366618 $144052322),32%
5,Liverpool,70,£ 2209038 (€ 2634421 $2684470),£ 114870000 (€ 136989906 $139592457),31%
6,Tottenham,76,£ 2068846 (€ 2467233 $2514106),£ 107580000 (€ 128296109 $130733496),34%
7,Everton,76,£ 1690962 (€ 2016581 $2054892),£ 87930000 (€ 104862213 $106854401),37%
8,West Ham,74,£ 1432808 (€ 1708716 $1741178),£ 74506000 (€ 88853227 $90541270),32%
9,Crystal Palace,69,£ 1428654 (€ 1703762 $1736131),£ 74290000 (€ 88595632 $90278786),39%
10,Leicester City,80,£ 1414038 (€ 1686332 $1718370),£ 73530000 (€ 87689280 $89355214),36%
11,Newcastle Utd,88,£ 1294423 (€ 1543683 $1573010),£ 67310000 (€ 80271532 $81796543),35%
12,Watford,91,£ 1109038 (€ 1322600 $1347727),£ 57670000 (€ 68775206 $70081807),35%
13,Wolves,77,£ 1040962 (€ 1241414 $1264999),£ 54130000 (€ 64553524 $65779923),40%
14,Southampton,64,£ 1029615 (€ 1227883 $1251210),£ 53540000 (€ 63849914 $65062944),34%
15,Aston Villa,79,£ 983654 (€ 1173071 $1195357),£ 51150000 (€ 60999684 $62158568),34%
16,Brighton,81,£ 936923 (€ 1117341 $1138569),£ 48720000 (€ 58101751 $59205581),36%
17,Burnley,73,£ 855192 (€ 1019872 $1039248),£ 44470000 (€ 53033354 $54040892),33%
18,Bournemouth,83,£ 814423 (€ 971252 $989704),£ 42350000 (€ 50505114 $51464621),32%
19,Norwich City,71,£ 503654 (€ 600640 $612051),£ 26190000 (€ 31233268 $31826646),41%
20,Sheffield Utd,83,£ 465000 (€ 554543 $565078),£ 24180000 (€ 28836215 $29384049),54%
